Selling Company,Product,Price (USD),Company location,Customer,Customer Country,Customer Workplace,Day
Nike,Product04,288,Kazakhstan,Scott Mendoza,Turkey,Goldman Sachs,1
Apple,Product217,123,Poland,Laura Gardner,Colombia,Goldman Sachs,1
Ur och Penn,Product710,26,Oman,David Burgess,Andorra,Nike,1
Nestlé,Product14,106,Romania,Brianna Conway,Pakistan,Nestlé,1
Goldman Sachs,Product68,169,Hong Kong,Teresa Guzman,Malaysia,McKinsey,1
Apple,Product217,123,Poland,Travis Madden,Croatia,Gunnars Grill och Plastikkirurgi,1
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,James Kennedy,Qatar,Tjuvjakt AB,1
Goldman Sachs,Product63,132,Hong Kong,David Downs,South Africa,Gunnars Grill och Plastikkirurgi,1
Tjuvjakt AB,Product810,281,South Korea,Robert Richardson,Turkey,MicroSoft,1
MicroSoft,Product31,141,Liechtenstein,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,1
Nike,Product012,152,Kazakhstan,Robert Boyle,Pakistan,Apple,1
Nestlé,Product16,73,Romania,Sharon Fitzgerald,Oman,Gunnars Grill och Plastikkirurgi,1
Gunnars Grill och Plastikkirurgi,Product410,172,Hungary,Allison Scott,Brazil,Nike,1
Goldman Sachs,Product64,203,Hong Kong,Richard Bailey,Hong Kong,Ur och Penn,1
Gunnars Grill och Plastikkirurgi,Product416,162,Hungary,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,1
Apple,Product21,66,Poland,Kim Porter,Mexico,Tjuvjakt AB,1
Gunnars Grill och Plastikkirurgi,Product41,189,Hungary,Chad Gallagher,Kazakhstan,Nike,1
Apple,Product27,207,Poland,Mathew Gilbert,Brazil,Tjuvjakt AB,1
Nestlé,Product113,22,Romania,Jennifer Flowers,Philippines,McKinsey,1
McKinsey,Product55,89,Poland,Amanda Flores,Colombia,Goldman Sachs,1
McKinsey,Product59,298,Poland,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,1
MicroSoft,Product315,299,Liechtenstein,Nicholas Woods,Iran,McKinsey,1
Apple,Product24,277,Poland,Eric Martinez,Poland,Gunnars Grill och Plastikkirurgi,1
Tjuvjakt AB,Product86,298,South Korea,Alexandra Chapman,Poland,MicroSoft,1
Goldman Sachs,Product66,180,Hong Kong,Yolanda Simmons,Pakistan,Nike,1
MicroSoft,Product30,233,Liechtenstein,Christopher Grant,Romania,Goldman Sachs,1
Goldman Sachs,Product60,161,Hong Kong,Carl Little,Thailand,MicroSoft,1
Nike,Product01,95,Kazakhstan,Stephanie Norman,Canada,Gunnars Grill och Plastikkirurgi,1
Ur och Penn,Product72,167,Oman,Ryan Morgan,Hong Kong,MicroSoft,1
Goldman Sachs,Product610,170,Hong Kong,Sheila Miller,Philippines,McKinsey,1
McKinsey,Product55,89,Poland,Brandon Ferrell,Bulgaria,Nike,2
Goldman Sachs,Product64,203,Hong Kong,Nicole Miller,Andorra,Nestlé,2
Apple,Product21,66,Poland,Jennifer Dorsey DDS,Canada,McKinsey,2
Ur och Penn,Product714,263,Oman,Angela Anthony,Qatar,Nike,2
MicroSoft,Product38,137,Liechtenstein,Richard Lee,Bulgaria,Nike,2
Tjuvjakt AB,Product83,68,South Korea,Mitchell Stein,Croatia,Gunnars Grill och Plastikkirurgi,2
